kind,index,x,y,z,is_boundary,cache_steps,c_exact,w
coarse,275,0.6676786542,0.7199293971,-0.08818022162,0,8,-0.07250355155,
coarse,276,0.1891239285,-0.8531196713,0.06405010819,0,8,-0.6920453133,
coarse,277,0.4434554875,-0.02548409998,-0.7568359375,0,8,0.19600333,
coarse,278,0.1052513421,0.4069259167,-0.3869852424,0,8,-0.1545108567,
coarse,279,0.3286921084,-0.8620397449,-0.2521970868,0,8,-0.6350740196,
coarse,280,0.8661727309,-0.2059641778,-0.2881730497,0,8,0.7078339572,
coarse,281,-0.2839078307,0.2326949388,-0.7629214525,0,8,0.02645672181,
coarse,282,0.61726439,0.6095607281,-0.04756470025,0,8,0.009451045943,
coarse,283,-0.7904391885,0.4791905284,0.2781744897,0,8,0.3951705482,
coarse,284,-0.4159337878,-0.2818979323,0.466803968,0,8,0.09353447162,
coarse,285,0.02286887541,-0.4075738788,0.9136530161,0,8,-0.1655934812,
coarse,286,0.5984150171,-0.5619853735,0.5026901364,0,8,0.0422729727,
coarse,287,0.6509238482,0.58719033,-0.3489881158,0,8,0.07890937241,
coarse,288,-0.8657638431,0.3183820844,-0.4362163544,0,8,0.6481798803,
coarse,289,0.7032982111,0.4724003673,-0.4419089854,0,8,0.2714662667,
coarse,290,-0.1712726951,0.1454773992,-0.9567243457,0,8,0.008170662388,
coarse,291,0.9011573195,-0.1080282107,0.3925400674,0,8,0.8004144203,
coarse,292,0.245141238,0.4802823365,-0.5424962044,0,8,-0.1705768962,
coarse,293,0.5317976475,0.6468379498,-0.07663880289,0,8,-0.1355905954,
coarse,294,0.8182963729,0.1191448122,0.0265873298,0,8,0.6554134676,
coarse,295,-0.6044722795,-0.02236314118,0.7709136605,0,8,0.3648866267,
coarse,296,-0.3304203153,0.04916036874,-0.9476318359,0,8,0.1067608429,
coarse,297,0.6734434962,-0.07142721117,-0.6927980781,0,8,0.4484242961,
coarse,298,-0.001776206773,0.1402443051,-0.9881228805,0,8,-0.01966531021,
coarse,299,0.6172558069,-0.7196897864,0.1746029556,0,8,-0.1369486575,
coarse,300,0.8541048765,-0.1522963792,-0.444917351,0,8,0.706300953,
coarse,301,-0.09270960838,0.9730402231,-0.1578895599,0,8,-0.9382122043,
coarse,302,0.3493569493,-0.4703917205,-0.3237909973,0,8,-0.0992180927,
coarse,303,0.796043992,-0.1651355922,-0.5322415829,0,8,0.6064162734,
coarse,304,0.08569607884,-0.8777772188,0.2752612531,0,8,-0.7631490279,
coarse,305,0.2118988335,0.02405199967,-0.9316942692,0,8,0.04432261696,
coarse,306,0.09634006023,0.3387163579,-0.9183118939,0,8,-0.1054473639,
coarse,307,-0.7327607274,-0.5983272791,-0.01167936623,0,8,0.1789427507,
coarse,308,-0.07614027709,-0.3368157744,0.6326767206,0,8,-0.1076475241,
coarse,309,-0.8008111715,0.3506828845,0.06842702627,0,8,0.518320047,
coarse,310,0.6720010638,0.4786021709,0.4669114351,0,8,0.2225253917,
coarse,311,-0.2898200154,-0.329634428,0.5681575537,0,8,-0.02466321479,
coarse,312,0.4547691345,0.163996473,0.1518895328,0,8,0.1799201226,
coarse,313,0.165841043,0.8153424859,0.4764667749,0,8,-0.6372801178,
coarse,314,-0.6190680265,0.3821501136,0.5068067312,0,8,0.2372065122,
coarse,315,0.2160621732,-0.8983599544,0.3269896507,0,8,-0.7603677449,
coarse,316,0.6055459976,-0.7749792933,0.01363887638,0,8,-0.2339069499,
coarse,317,0.5475212932,0.5420097113,0.5121559501,0,8,0.006005039361,
coarse,318,0.2890834808,0.5105264187,-0.7633195519,0,8,-0.1770679653,
coarse,319,0.2265270799,0.3086211085,0.7512975931,0,8,-0.04393247069,
coarse,320,0.4585166276,0.4688459039,-0.7622541189,0,8,-0.009578983839,
coarse,321,0.9490417838,0.09891258925,0.2154162228,0,8,0.8908966071,
coarse,322,-0.6474807262,0.2172752172,0.4763705134,0,8,0.3720227709,
coarse,323,0.599085927,-0.4337767959,-0.5920773745,0,8,0.1707416393,
coarse,324,0.742844522,0.6884471774,0.01838233694,1,8,0.07785846778,
coarse,325,-0.4752089679,0.009330777451,0.2666908801,0,8,0.2257364998,
coarse,326,0.09882486612,1.015241146,-0.1475809366,0,8,-1.020948231,
coarse,327,-0.3102507293,0.9183664322,-0.1967094541,0,8,-0.7471413887,
coarse,328,0.8493574262,0.503688395,-0.1944418252,1,7,0.4677060381,
coarse,329,0.1638080925,-0.165297389,-0.9709612131,0,8,-0.00049013566,
coarse,330,0.4740050733,-0.8192927837,-0.2550670207,0,8,-0.446559856,
coarse,331,-0.4423084557,-0.3125631213,-0.8271684647,0,8,0.09794106518,
coarse,332,-0.007087811828,-0.7065851688,0.6733682156,0,8,-0.4992123637,
coarse,333,0.1478883177,0.5574411154,-0.6727098227,0,8,-0.2888696426,
coarse,334,0.8492492437,-0.1422832906,0.382568121,0,8,0.7009797432,
coarse,335,0.1150222793,-0.3656175435,0.9180175066,0,8,-0.1204460633,
coarse,336,-0.3126203716,0.5890090466,-0.6223464012,0,8,-0.2492001602,
coarse,337,0.276401788,0.8505470157,0.4199271202,0,8,-0.6470322775,
coarse,338,0.9246532917,0.1256084442,0.1645602733,0,8,0.8392062286,
coarse,339,0.130562067,0.8967497349,0.24894467,0,8,-0.7871136337,
coarse,340,-0.4985705912,0.5295665264,0.1609730572,0,8,-0.03186807148,
coarse,341,0.2553168237,0.2212429196,0.9338951707,0,8,0.01623825102,
